"ticker","volatility","Security","GICS.Sector","GICS.Sub.Industry"
"COR",0.0163459870640549,"Cencora","Health Care","Health Care Distributors"
"COST",0.0150908061842283,"Costco","Consumer Staples","Consumer Staples Merchandise Retail"
"CPAY",0.0224735198890615,"Corpay","Financials","Transaction & Payment Processing Services"
"CPB",0.0158283970872186,"Campbell's Company (The)","Consumer Staples","Packaged Foods & Meats"
"CPRT",0.0188626973730585,"Copart","Industrials","Diversified Support Services"
"CPT",0.0179928752935159,"Camden Property Trust","Real Estate","Multi-Family Residential REITs"
"CRL",0.0270013261807407,"Charles River Laboratories","Health Care","Life Sciences Tools & Services"
"CRM",0.0245972393307918,"Salesforce","Information Technology","Application Software"
"CRWD",0.0340221057999803,"CrowdStrike","Information Technology","Systems Software"
"CSCO",0.0169355000428154,"Cisco","Information Technology","Communications Equipment"
"CSGP",0.0221410222462964,"CoStar Group","Real Estate","Real Estate Services"
"CSX",0.0181440547078985,"CSX Corporation","Industrials","Rail Transportation"
"CTAS",0.0189981997691256,"Cintas","Industrials","Diversified Support Services"
"CTRA",0.0242767610504334,"Coterra","Energy","Oil & Gas Exploration & Production"
"CTSH",0.0194650967266047,"Cognizant","Information Technology","IT Consulting & Other Services"
"CTVA",0.0207441686890653,"Corteva","Materials","Fertilizers & Agricultural Chemicals"
"CVS",0.0195122716542662,"CVS Health","Health Care","Health Care Services"
"CVX",0.0217228867755605,"Chevron Corporation","Energy","Integrated Oil & Gas"
"D",0.017494006708742,"Dominion Energy","Utilities","Multi-Utilities"
"DAL",0.0312490624444063,"Delta Air Lines","Industrials","Passenger Airlines"
"DAY",0.029402822035971,"Dayforce","Industrials","Human Resource & Employment Services"
"DD",0.0216705046036597,"DuPont","Materials","Specialty Chemicals"
"DDOG",0.0362549537882268,"Datadog","Information Technology","Application Software"
"DE",0.0205692531817988,"Deere & Company","Industrials","Agricultural & Farm Machinery"
"DECK",0.0289579507120589,"Deckers Brands","Consumer Discretionary","Footwear"
"DELL",0.0286730516955254,"Dell Technologies","Information Technology","Technology Hardware, Storage & Peripherals"
"DG",0.0215368892723294,"Dollar General","Consumer Staples","Consumer Staples Merchandise Retail"
"DGX",0.016531118210363,"Quest Diagnostics","Health Care","Health Care Services"
"DHI",0.0256343134533245,"D. R. Horton","Consumer Discretionary","Homebuilding"
"DHR",0.0183324572936574,"Danaher Corporation","Health Care","Life Sciences Tools & Services"
"DIS",0.0211824616134107,"Walt Disney Company (The)","Communication Services","Movies & Entertainment"
"DLR",0.0200379810655117,"Digital Realty","Real Estate","Data Center REITs"
"DLTR",0.0254330368590149,"Dollar Tree","Consumer Staples","Consumer Staples Merchandise Retail"
"DOC",0.0210146161185386,"Healthpeak Properties","Real Estate","Health Care REITs"
"DOV",0.0184578543639093,"Dover Corporation","Industrials","Industrial Machinery & Supplies & Components"
"DOW",0.0240080176963554,"Dow Inc.","Materials","Commodity Chemicals"
"DPZ",0.0203458957583142,"Domino's","Consumer Discretionary","Restaurants"
"DRI",0.0269600701787715,"Darden Restaurants","Consumer Discretionary","Restaurants"
"DTE",0.0166006475567344,"DTE Energy","Utilities","Multi-Utilities"
"DUK",0.0150246993995225,"Duke Energy","Utilities","Electric Utilities"
"DVA",0.0225787493666607,"DaVita","Health Care","Health Care Services"
"DVN",0.0355642452973618,"Devon Energy","Energy","Oil & Gas Exploration & Production"
"DXCM",0.030658279172152,"Dexcom","Health Care","Health Care Equipment"
"EA",0.0174469974812149,"Electronic Arts","Communication Services","Interactive Home Entertainment"
"EBAY",0.0210126145285785,"eBay Inc.","Consumer Discretionary","Broadline Retail"
"ECL",0.0187324666478292,"Ecolab","Materials","Specialty Chemicals"
"ED",0.0152863507427526,"Consolidated Edison","Utilities","Multi-Utilities"
"EFX",0.0218162937220591,"Equifax","Industrials","Research & Consulting Services"
"EG",0.0196764010179779,"Everest Group","Financials","Reinsurance"
"EIX",0.0187414837382063,"Edison International","Utilities","Electric Utilities"
"EL",0.0258826353783651,"Estée Lauder Companies (The)","Consumer Staples","Personal Care Products"
"ELV",0.0213624294445438,"Elevance Health","Health Care","Managed Health Care"
"EME",0.022937488903736,"Emcor","Industrials","Construction & Engineering"
"EMN",0.0225176299786293,"Eastman Chemical Company","Materials","Specialty Chemicals"
"EMR",0.0204719622849328,"Emerson Electric","Industrials","Electrical Components & Equipment"
"EOG",0.0284018743934508,"EOG Resources","Energy","Oil & Gas Exploration & Production"
"EPAM",0.0337993961272848,"EPAM Systems","Information Technology","IT Consulting & Other Services"
"EQIX",0.0192516899448357,"Equinix","Real Estate","Data Center REITs"
"EQR",0.0186553940781559,"Equity Residential","Real Estate","Multi-Family Residential REITs"
"EQT",0.0345633230656842,"EQT Corporation","Energy","Oil & Gas Exploration & Production"
"ERIE",0.0206212856580894,"Erie Indemnity","Financials","Insurance Brokers"
"ES",0.0179029164398932,"Eversource Energy","Utilities","Electric Utilities"
"ESS",0.0192244577585791,"Essex Property Trust","Real Estate","Multi-Family Residential REITs"
"ETN",0.0212955052976308,"Eaton Corporation","Industrials","Electrical Components & Equipment"
"ETR",0.0178337484325196,"Entergy","Utilities","Electric Utilities"
"EVRG",0.0170622746966749,"Evergy","Utilities","Electric Utilities"
"EW",0.0220622121920051,"Edwards Lifesciences","Health Care","Health Care Equipment"
"EXC",0.0175512602832399,"Exelon","Utilities","Electric Utilities"
"EXPD",0.0166993763322641,"Expeditors International","Industrials","Air Freight & Logistics"
"EXPE",0.0312773357616624,"Expedia Group","Consumer Discretionary","Hotels, Resorts & Cruise Lines"
"EXR",0.0194917756847035,"Extra Space Storage","Real Estate","Self-Storage REITs"
"F",0.0271309878436761,"Ford Motor Company","Consumer Discretionary","Automobile Manufacturers"
"FANG",0.035915653915101,"Diamondback Energy","Energy","Oil & Gas Exploration & Production"
"FAST",0.0170516615589886,"Fastenal","Industrials","Trading Companies & Distributors"
"FCX",0.0323555545526385,"Freeport-McMoRan","Materials","Copper"
"FDS",0.0181176730971867,"FactSet","Financials","Financial Exchanges & Data"
"FDX",0.0232941239895466,"FedEx","Industrials","Air Freight & Logistics"
"FE",0.0180754978073038,"FirstEnergy","Utilities","Electric Utilities"
"FFIV",0.0196859587532496,"F5, Inc.","Information Technology","Communications Equipment"
"FI",0.020180887367228,"Fiserv","Financials","Transaction & Payment Processing Services"
"FICO",0.0268778563899508,"Fair Isaac","Information Technology","Application Software"
"FIS",0.0222046943339448,"Fidelity National Information Services","Financials","Transaction & Payment Processing Services"
"FITB",0.0268512183334497,"Fifth Third Bancorp","Financials","Regional Banks"
"FOX",0.0203881147067607,"Fox Corporation (Class B)","Communication Services","Broadcasting"
"FOXA",0.0209559095414316,"Fox Corporation (Class A)","Communication Services","Broadcasting"
"FRT",0.0225643793355168,"Federal Realty Investment Trust","Real Estate","Retail REITs"
"FSLR",0.0345910587651023,"First Solar","Information Technology","Semiconductors"
"FTNT",0.0286553918179685,"Fortinet","Information Technology","Systems Software"
"FTV",0.0186168066137011,"Fortive","Industrials","Industrial Machinery & Supplies & Components"
"GD",0.0155617610068501,"General Dynamics","Industrials","Aerospace & Defense"
"GDDY",0.0226887189581575,"GoDaddy","Information Technology","Internet Services & Infrastructure"
"GE",0.0242592285791239,"GE Aerospace","Industrials","Aerospace & Defense"
"GEN",0.0201058227890932,"Gen Digital","Information Technology","Systems Software"
"GILD",0.0167632071277188,"Gilead Sciences","Health Care","Biotechnology"
"GIS",0.0142248637481872,"General Mills","Consumer Staples","Packaged Foods & Meats"
"GL",0.0251465993498534,"Globe Life","Financials","Life & Health Insurance"
"GLW",0.0210620584111245,"Corning Inc.","Information Technology","Electronic Components"
"GM",0.0266398036001621,"General Motors","Consumer Discretionary","Automobile Manufacturers"
"GNRC",0.0327334456905832,"Generac","Industrials","Electrical Components & Equipment"
"GOOG",0.0204094712478561,"Alphabet Inc. (Class C)","Communication Services","Interactive Media & Services"
"GOOGL",0.0205033482676753,"Alphabet Inc. (Class A)","Communication Services","Interactive Media & Services"
"GPC",0.0202373386333779,"Genuine Parts Company","Consumer Discretionary","Distributors"
"GPN",0.0246848849189046,"Global Payments","Financials","Transaction & Payment Processing Services"
"GRMN",0.0194776803761072,"Garmin","Consumer Discretionary","Consumer Electronics"
"GS",0.0208400641602311,"Goldman Sachs","Financials","Investment Banking & Brokerage"
"GWW",0.0180042556322106,"W. W. Grainger","Industrials","Industrial Machinery & Supplies & Components"
"HAL",0.0340484417606959,"Halliburton","Energy","Oil & Gas Equipment & Services"
"HAS",0.0233955894037292,"Hasbro","Consumer Discretionary","Leisure Products"
"HBAN",0.0252161776178536,"Huntington Bancshares","Financials","Regional Banks"
"HCA",0.0232730307682494,"HCA Healthcare","Health Care","Health Care Facilities"
"HD",0.0177386214395086,"Home Depot (The)","Consumer Discretionary","Home Improvement Retail"
"HIG",0.0220389353556611,"Hartford (The)","Financials","Property & Casualty Insurance"
"HII",0.0206400552288468,"Huntington Ingalls Industries","Industrials","Aerospace & Defense"
"HLT",0.0208177325033132,"Hilton Worldwide","Consumer Discretionary","Hotels, Resorts & Cruise Lines"
"HOLX",0.0188267324431331,"Hologic","Health Care","Health Care Equipment"
"HON",0.0169588520574656,"Honeywell","Industrials","Industrial Conglomerates"
"HPE",0.0248101929372217,"Hewlett Packard Enterprise","Information Technology","Technology Hardware, Storage & Peripherals"
"HPQ",0.0241549749407401,"HP Inc.","Information Technology","Technology Hardware, Storage & Peripherals"
"HRL",0.015454926520147,"Hormel Foods","Consumer Staples","Packaged Foods & Meats"
"HSIC",0.0187153725253401,"Henry Schein","Health Care","Health Care Distributors"
"HST",0.0255425148689662,"Host Hotels & Resorts","Real Estate","Hotel & Resort REITs"
"HSY",0.0156790367736428,"Hershey Company (The)","Consumer Staples","Packaged Foods & Meats"
"HUBB",0.0203322616255746,"Hubbell Incorporated","Industrials","Industrial Machinery & Supplies & Components"
"HUM",0.023648169700761,"Humana","Health Care","Managed Health Care"
"HWM",0.0271220054637365,"Howmet Aerospace","Industrials","Aerospace & Defense"
"IBKR",0.0227381173032016,"Interactive Brokers","Financials","Investment Banking & Brokerage"
"IBM",0.0171950656819642,"IBM","Information Technology","IT Consulting & Other Services"
"ICE",0.0153502739662954,"Intercontinental Exchange","Financials","Financial Exchanges & Data"
"IDXX",0.0229076632336537,"Idexx Laboratories","Health Care","Health Care Equipment"
"IEX",0.0169713045936003,"IDEX Corporation","Industrials","Industrial Machinery & Supplies & Components"
"IFF",0.0208977961798106,"International Flavors & Fragrances","Materials","Specialty Chemicals"
"INCY",0.0201234178978865,"Incyte","Health Care","Biotechnology"
"INTC",0.0298595016969134,"Intel","Information Technology","Semiconductors"
"INTU",0.0232861327875844,"Intuit","Information Technology","Application Software"
"INVH",0.0184675794147247,"Invitation Homes","Real Estate","Single-Family Residential REITs"
"IP",0.0219080248034983,"International Paper","Materials","Paper & Plastic Packaging Products & Materials"
"IPG",0.02250688453444,"Interpublic Group of Companies (The)","Communication Services","Advertising"
"IQV",0.0222507573301951,"IQVIA","Health Care","Life Sciences Tools & Services"
"IR",0.0216020281044808,"Ingersoll Rand","Industrials","Industrial Machinery & Supplies & Components"
"IRM",0.0207446549190961,"Iron Mountain","Real Estate","Other Specialized REITs"
"ISRG",0.0223942774702783,"Intuitive Surgical","Health Care","Health Care Equipment"
"IT",0.0223936742365558,"Gartner","Information Technology","IT Consulting & Other Services"
"ITW",0.0162973685107455,"Illinois Tool Works","Industrials","Industrial Machinery & Supplies & Components"
"IVZ",0.0288892123150687,"Invesco","Financials","Asset Management & Custody Banks"
"J",0.0178579983351538,"Jacobs Solutions","Industrials","Construction & Engineering"
"JBHT",0.0202489912302576,"J.B. Hunt","Industrials","Cargo Ground Transportation"
"JBL",0.0257060792472339,"Jabil","Information Technology","Electronic Manufacturing Services"
"JCI",0.0193616567986678,"Johnson Controls","Industrials","Building Products"
"JKHY",0.0169122829191139,"Jack Henry & Associates","Financials","Transaction & Payment Processing Services"
"JNJ",0.0124838343729867,"Johnson & Johnson","Health Care","Pharmaceuticals"
"JPM",0.0199681887067656,"JPMorgan Chase","Financials","Diversified Banks"
"K",0.013986748769823,"Kellanova","Consumer Staples","Packaged Foods & Meats"
"KDP",0.0152043391883241,"Keurig Dr Pepper","Consumer Staples","Soft Drinks & Non-alcoholic Beverages"
"KEY",0.0300284478068992,"KeyCorp","Financials","Regional Banks"
"KEYS",0.0207336795216198,"Keysight Technologies","Information Technology","Electronic Equipment & Instruments"
"KHC",0.0170397565460124,"Kraft Heinz","Consumer Staples","Packaged Foods & Meats"
"KIM",0.0253158420619625,"Kimco Realty","Real Estate","Retail REITs"
"KKR",0.02596932170511,"KKR & Co.","Financials","Asset Management & Custody Banks"
"KLAC",0.0289715325895676,"KLA Corporation","Information Technology","Semiconductor Materials & Equipment"
"KMB",0.0133856807380527,"Kimberly-Clark","Consumer Staples","Household Products"
"KMI",0.0197787507827028,"Kinder Morgan","Energy","Oil & Gas Storage & Transportation"
"KMX",0.0284184176262295,"CarMax","Consumer Discretionary","Automotive Retail"
"KO",0.0128702485881485,"Coca-Cola Company (The)","Consumer Staples","Soft Drinks & Non-alcoholic Beverages"
"KR",0.0176659596451078,"Kroger","Consumer Staples","Food Retail"
"L",0.0192770426076663,"Loews Corporation","Financials","Multi-line Insurance"
"LDOS",0.0186908955288094,"Leidos","Industrials","Diversified Support Services"
"LEN",0.026920532830115,"Lennar","Consumer Discretionary","Homebuilding"
"LH",0.0190590104286189,"Labcorp","Health Care","Health Care Services"
"LHX",0.0171222386680267,"L3Harris","Industrials","Aerospace & Defense"
"LII",0.0203816456486206,"Lennox International","Industrials","Building Products"
"LIN",0.0158669238394986,"Linde plc","Materials","Industrial Gases"
"LKQ",0.0240860750453003,"LKQ Corporation","Consumer Discretionary","Distributors"
"LLY",0.0215799305731758,"Lilly (Eli)","Health Care","Pharmaceuticals"
"LMT",0.0165941665353909,"Lockheed Martin","Industrials","Aerospace & Defense"
"LNT",0.0153853147339092,"Alliant Energy","Utilities","Electric Utilities"
"LOW",0.0199663548496042,"Lowe's","Consumer Discretionary","Home Improvement Retail"
"LRCX",0.0307083851510166,"Lam Research","Information Technology","Semiconductor Materials & Equipment"
"LULU",0.0271271680080351,"Lululemon Athletica","Consumer Discretionary","Apparel, Accessories & Luxury Goods"
"LUV",0.0264774452375633,"Southwest Airlines","Industrials","Passenger Airlines"
"LVS",0.02798871666838,"Las Vegas Sands","Consumer Discretionary","Casinos & Gaming"
"LW",0.0256594006128238,"Lamb Weston","Consumer Staples","Packaged Foods & Meats"
"LYB",0.0252988239977609,"LyondellBasell","Materials","Specialty Chemicals"
"LYV",0.0279709956582766,"Live Nation Entertainment","Communication Services","Movies & Entertainment"
"MA",0.0189817047022567,"Mastercard","Financials","Transaction & Payment Processing Services"
"MAA",0.0176473362597341,"Mid-America Apartment Communities","Real Estate","Multi-Family Residential REITs"
"MAR",0.0242670889923026,"Marriott International","Consumer Discretionary","Hotels, Resorts & Cruise Lines"
"MAS",0.0198180950160635,"Masco","Industrials","Building Products"
"MCD",0.0144101166245805,"McDonald's","Consumer Discretionary","Restaurants"
"MCHP",0.029692076525249,"Microchip Technology","Information Technology","Semiconductors"
"MCK",0.0178732864274908,"McKesson Corporation","Health Care","Health Care Distributors"
"MCO",0.0197117688635259,"Moody's Corporation","Financials","Financial Exchanges & Data"
"MDLZ",0.0139829850491986,"Mondelez International","Consumer Staples","Packaged Foods & Meats"
"MDT",0.0164801486953481,"Medtronic","Health Care","Health Care Equipment"
"MET",0.0217094640717051,"MetLife","Financials","Life & Health Insurance"
"META",0.0278483891465094,"Meta Platforms","Communication Services","Interactive Media & Services"
"MGM",0.0340374897718323,"MGM Resorts","Consumer Discretionary","Casinos & Gaming"
"MHK",0.029694168960388,"Mohawk Industries","Consumer Discretionary","Home Furnishings"
"MKC",0.0164552853724362,"McCormick & Company","Consumer Staples","Packaged Foods & Meats"
"MLM",0.0212161846196576,"Martin Marietta Materials","Materials","Construction Materials"
"MMC",0.0144226425463621,"Marsh McLennan","Financials","Insurance Brokers"
"MMM",0.0187075738721513,"3M","Industrials","Industrial Conglomerates"
"MNST",0.0166278847473481,"Monster Beverage","Consumer Staples","Soft Drinks & Non-alcoholic Beverages"
"MO",0.0150216804790661,"Altria","Consumer Staples","Tobacco"
"MOH",0.0249731543618339,"Molina Healthcare","Health Care","Managed Health Care"
"MOS",0.0315429797983278,"Mosaic Company (The)","Materials","Fertilizers & Agricultural Chemicals"
"MPC",0.0288471279946221,"Marathon Petroleum","Energy","Oil & Gas Refining & Marketing"
"MPWR",0.0345208377047769,"Monolithic Power Systems","Information Technology","Semiconductors"
"MRK",0.0155493284025421,"Merck & Co.","Health Care","Pharmaceuticals"
"MRNA",0.0465750663914143,"Moderna","Health Care","Biotechnology"
"MS",0.022249848029661,"Morgan Stanley","Financials","Investment Banking & Brokerage"
"MSCI",0.0222879713910922,"MSCI Inc.","Financials","Financial Exchanges & Data"
"MSFT",0.0188374378315345,"Microsoft","Information Technology","Systems Software"
"MSI",0.0172483365579029,"Motorola Solutions","Information Technology","Communications Equipment"
"MTB",0.0247452367404756,"M&T Bank","Financials","Regional Banks"
"MTCH",0.0301624091659405,"Match Group","Communication Services","Interactive Media & Services"
"MTD",0.020923499692707,"Mettler Toledo","Health Care","Life Sciences Tools & Services"
"MU",0.031055994537675,"Micron Technology","Information Technology","Semiconductors"
"NCLH",0.0478287607744245,"Norwegian Cruise Line Holdings","Consumer Discretionary","Hotels, Resorts & Cruise Lines"
"NDAQ",0.0173392405002073,"Nasdaq, Inc.","Financials","Financial Exchanges & Data"
"NDSN",0.0195936360160051,"Nordson Corporation","Industrials","Industrial Machinery & Supplies & Components"
"NEE",0.0191292584439592,"NextEra Energy","Utilities","Multi-Utilities"
"NEM",0.023168624480482,"Newmont","Materials","Gold"
"NFLX",0.0277935055773162,"Netflix","Communication Services","Movies & Entertainment"
"NI",0.0166474944923133,"NiSource","Utilities","Multi-Utilities"
"NKE",0.0226744942115312,"Nike, Inc.","Consumer Discretionary","Apparel, Accessories & Luxury Goods"
"NOC",0.0174776185022332,"Northrop Grumman","Industrials","Aerospace & Defense"
"NOW",0.0267478021892275,"ServiceNow","Information Technology","Systems Software"
"NRG",0.0259008591054493,"NRG Energy","Utilities","Independent Power Producers & Energy Traders"
"NSC",0.0192228078094605,"Norfolk Southern","Industrials","Rail Transportation"
"NTAP",0.0228802724306259,"NetApp","Information Technology","Technology Hardware, Storage & Peripherals"
"NTRS",0.0218911400037865,"Northern Trust","Financials","Asset Management & Custody Banks"
"NUE",0.0258680098657564,"Nucor","Materials","Steel"
"NVDA",0.0338611949618487,"Nvidia","Information Technology","Semiconductors"
"NVR",0.022523562735677,"NVR, Inc.","Consumer Discretionary","Homebuilding"
"NWS",0.0208689875004388,"News Corp (Class B)","Communication Services","Publishing"
"NWSA",0.0205401246365662,"News Corp (Class A)","Communication Services","Publishing"
"NXPI",0.0278709216977572,"NXP Semiconductors","Information Technology","Semiconductors"
"O",0.0188378915771053,"Realty Income","Real Estate","Retail REITs"
"ODFL",0.0228803707935286,"Old Dominion","Industrials","Cargo Ground Transportation"
"OKE",0.0296054108894544,"Oneok","Energy","Oil & Gas Storage & Transportation"
"OMC",0.0201950301848948,"Omnicom Group","Communication Services","Advertising"
"ON",0.0361777265515052,"ON Semiconductor","Information Technology","Semiconductors"
"ORCL",0.0242097117571716,"Oracle Corporation","Information Technology","Application Software"
"ORLY",0.0168979409539549,"O’Reilly Automotive","Consumer Discretionary","Automotive Retail"
"OTIS",0.0162206125732083,"Otis Worldwide","Industrials","Industrial Machinery & Supplies & Components"
"OXY",0.0378647755808082,"Occidental Petroleum","Energy","Oil & Gas Exploration & Production"
"PANW",0.0260344947635694,"Palo Alto Networks","Information Technology","Systems Software"
"PAYC",0.0308111050619322,"Paycom","Industrials","Human Resource & Employment Services"
"PAYX",0.0182299727078051,"Paychex","Industrials","Human Resource & Employment Services"
